City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
78,Chokurdakh,RU,70.6333,147.9167,45.75,60,86,8.1,overcast clouds
79,Kushima,JP,31.4583,131.2333,78.04,94,40,5.1,scattered clouds
80,Saint George,US,37.1041,-113.5841,92.43,47,0,1.99,clear sky
81,Gryazi,RU,52.4966,39.9359,74.35,65,88,3.76,overcast clouds
82,Hami,CN,42.8,93.45,86.16,14,74,8.61,broken clouds
83,Verkhniy Ufaley,RU,56.0567,60.2306,53.29,75,58,2.35,broken clouds
84,Shenjiamen,CN,29.9576,122.298,80.1,91,9,15.99,clear sky
85,Kabare,CD,-2.4683,28.8242,65.37,65,81,2.15,broken clouds
86,Wittenberge,DE,53.0,11.75,68.04,50,10,10.63,clear sky
87,Calabazar De Sagua,CU,22.6447,-79.8961,88.27,66,40,12.66,scattered clouds
88,Atambua,ID,-9.1061,124.8925,67.12,84,10,7.87,clear sky
89,Puerto Madryn,AR,-42.7692,-65.0385,45.77,80,100,13.94,overcast clouds
90,Namatanai,PG,-3.6667,152.4333,78.8,79,94,10.54,overcast clouds
91,Iqaluit,CA,63.7506,-68.5145,56.93,54,20,4.61,few clouds
92,Te Anau,NZ,-45.4167,167.7167,42.49,97,100,2.46,overcast clouds
93,Vysokogornyy,RU,50.1167,139.15,53.74,98,38,1.68,scattered clouds
94,Flin Flon,CA,54.7682,-101.865,62.44,67,75,11.5,broken clouds
95,Kohima,IN,25.6667,94.1167,64.94,98,95,0.98,overcast clouds
96,Codrington,AU,-38.2667,141.9667,46.53,75,65,7.31,broken clouds
97,Bandarbeyla,SO,9.4942,50.8122,76.96,83,69,30.96,broken clouds
98,Dubbo,AU,-32.25,148.6167,35.73,85,100,0.0,overcast clouds
99,Maceio,BR,-9.6658,-35.7353,80.04,73,75,8.05,broken clouds
100,Puerto Colombia,CO,10.9878,-74.9547,87.89,75,57,11.72,broken clouds
101,Naqadeh,IR,36.9553,45.388,79.48,21,5,6.35,clear sky
102,Lazaro Cardenas,MX,17.9583,-102.2,86.63,57,92,7.87,overcast clouds
103,Katsuura,JP,35.1333,140.3,79.21,91,90,14.85,overcast clouds
